Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
E;Olla Popular “Nuevo Sol”-Corazones contentos;Olla y Merendero;Felix Laborde 2379;Martes, miércoles y jueves;14:30hs a 20hs;junio;2021
E;Olla Realojados de Isla de Gaspar;Olla y Merendero;Luis Cluzeau Mortet 5097 esq. Ana María Rubens;Lunes, Miércoles y viernes;16:30 hs.;junio;2021
E;Merendero Malvin Norte;Olla y Merendero;Asentamiento Aquiles Lanza;Jueves y Sábado;16hs. Merendero: Sábado. Olla: Jueves.;junio;2021
E;Olla y Merendero La Cañada;Olla y Merendero;Ruta 8 Km 24.700;Martes y Viernes;Merendero: martes. Olla: viernes.;junio;2021
E;Olla Popular Chiancone y Berro;Olla y Merendero;Luis Cluzeau Mortet 5097 esq. Ana María Rubens;Sábados y domingos;17 y 20 hs;junio;2021
E;Comedor Popular “Escuela 44”;Olla y Merendero;Morelli 3965 Esq felix laborde y silvestre pérez.;Sábados y Domingo;Olla: sábados 12 hs y merendero: sábado y domingo 17 hs;junio;2021
E;"Olla Popular y Merendero ""Cristina""";Olla y Merendero;Pasaje Florencio Sanchez Solar 4 Esq Felisberto Hernandez;Viernes,Sábado y Domingo;S/D;junio;2021
E;Dr. Enrique Soto;Olla;Agustin Pedroza 5160 block B apto. 306;L o J;21 hs;junio;2021
E;Unidas por aquiles;Merendero;Pasaje 172 solar 37 (pasaje Elvira Valdez);lunes, miércoles, viernes y sábados;17;junio;2021
E;Merendero Aquiles;Merendero;Pasaje Elvira Valdez solar 36 esq. Mallorca;Lunes miércoles y sábados;17:00;junio;2021
E;Olla La Quinta;Olla y Merendero;Servando Gómez 3470 y Cno Carrasco;Lunes a lunes;16:30 hs;junio;2021
E;Olla y Merendero Mary y Roberto;Olla y Merendero;calle 127 2087 ap 102 Blok 1 esq. igua;Lunes a Viernes;13 a 15 y 16 a 18;junio;2021
E;Del Corazón;Olla;Pasaje C 3893;Lunes, miércoles y viernes;S/D;junio;2021
E;Iniciativa vecinal;Merendero;Calle Central esq. Calle 26;Miércoles, Jueves y Viernes;11 a 14 hs;junio;2021
E;Olla Asociación Civil Esperanza;Olla y Merendero;Acosta y Lara 7129;Lunes miércoles y viernes;S/D;junio;2021
E;Solidar;Olla;Irlanda 2187 - (Entregan en plaza Pasteur);Lunes, martes,Jueves, viernes y domingo;17 y 21 hs;junio;2021
E;Comedor San Vicente de la Parroquia Medalla milagrosa San Agustín;Olla;Domingo Ereño 2465 esq. Cabrera.;Martes, viernes;17;junio;2021
F;Sueños Cumplidos;Olla y Merendero;Carlos Neri 3519 esq. Acrópolis;Lunes a domingos;Lunes a domingo merendero 17-19 hs - Mi y Vie olla 20 hs;junio;2021
F;Club de bochas Bagé;Olla y Merendero;Carreras Nacionales 3786 y Gral.Flores, barrio Ituzaingó;LaS;17hs;junio;2021
